y,treatment,W1,W2,instruments
16,1.41E-09,18.13386995,1.692,69.89382722
26,1.28E-09,18.11844763,1.692,147.7300647
29,1.15E-09,17.96269722,1.692,132.4526417
24,1.51E-09,18.59412934,1.692,70.29223478
22,1.63E-09,18.01848299,1.692,218.3157732
24,1.14E-09,17.37048781,1.692,337.697489
31,8.16E-10,17.37833259,1.692,131.1965811
19,7.69E-10,18.54564029,1.692,109.3297792
23,7.66E-10,17.66414754,1.692,287.3863802
20,7.14E-10,17.16601095,1.692,145.0821105
37,6.21E-10,18.1362954,1.692,103.5679119
24,6.26E-10,17.9881146,1.692,247.0972736
19,6.58E-10,16.92764014,1.692,305.6456589
19,6.23E-10,17.32688123,1.692,181.3361377
29,6.63E-10,17.20397805,1.692,114.7955867
20,6.94E-10,16.87930332,1.692,173.5961464
22,6.71E-10,16.66578297,1.692,209.4366346
30,6.66E-10,17.18660459,1.692,209.6414405
35,7.24E-10,16.39858489,1.692,152.2631649
33,6.87E-10,16.10154836,1.692,190.3198783
35,6.51E-10,16.94112564,1.692,99.55272857
31,6.68E-10,16.51817511,1.692,144.3486363
23,6.88E-10,16.91408445,1.692,143.7689182
30,7.80E-10,17.12332694,1.692,130.5659356
34,8.26E-10,16.78538035,1.692,167.28495
41,1.03E-09,16.78075823,1.692,202.7366926
33,9.80E-10,16.18814859,1.692,155.5743473
28,7.45E-10,16.74191554,1.692,190.2150127
37,8.17E-10,16.66526327,1.692,240.7899233
24,8.20E-10,16.05338372,1.692,214.3985513
19,7.16E-10,15.71769595,1.692,266.1310538
14,6.34E-10,16.38357205,1.692,248.8031404
26,7.57E-10,17.09813667,1.692,86.90242928
17,8.30E-10,16.02099029,1.692,216.3312891
23,7.14E-10,16.11412595,1.692,265.5332044
26,6.10E-10,16.04271735,1.692,211.7169217
18,5.94E-10,15.85521495,1.692,235.175861
21,6.38E-10,15.57183332,1.692,187.2809111
27,6.38E-10,15.82266888,1.692,273.657673
17,6.45E-10,15.85755443,1.692,258.8476302
11,7.15E-10,16.41139607,1.692,139.8532398
14,7.06E-10,15.91814878,1.692,152.2296976
24,6.01E-10,15.52256299,1.692,50.2022863
28,6.15E-10,16.89121137,1.692,61.12614609
32,6.53E-10,15.87169146,1.692,94.4132226
36,6.72E-10,16.52346966,1.692,63.36563596
35,7.45E-10,17.05850598,1.692,122.8510141
31,8.65E-10,16.33749686,1.692,91.71099192
36,9.26E-10,16.79837119,1.692,76.14894605
37,8.31E-10,16.20393893,1.692,135.6239085
26,8.15E-10,16.24523026,1.692,362.9586671
32,1.04E-09,16.49367197,1.692,149.1117282
21,9.17E-10,16.15015159,1.692,206.7099184
38,7.63E-10,15.89831165,1.692,159.7608865
31,1.09E-09,16.84096065,1.692,113.0813056
29,1.01E-09,16.36382432,1.692,328.1099906
26,7.70E-10,17.32600277,1.692,75.36342003
36,8.06E-10,16.55256023,1.692,246.207115
24,7.48E-10,16.17680233,1.692,262.3565609
28,7.34E-10,15.90103605,1.692,214.4247268
22,7.37E-10,16.78068989,1.692,290.3281799
27,6.63E-10,17.46316561,1.692,153.1438517
43,6.34E-10,17.42398341,1.692,246.1063874
24,6.75E-10,16.59174387,1.692,148.4331225
30,6.94E-10,17.05026309,1.692,147.5830907
22,6.62E-10,16.91184068,1.692,214.6935945
37,6.68E-10,17.24886784,1.692,150.9631081
38,6.69E-10,17.20546105,1.692,54.76134876
26,6.26E-10,17.06921476,1.692,101.6371032
30,6.03E-10,16.69597628,1.692,125.7057645
31,6.20E-10,17.079808,1.692,50.26613332
29,6.20E-10,16.36211749,1.692,117.7320802
35,6.02E-10,17.0550211,1.692,33.37048142
28,6.30E-10,16.35570808,1.692,90.29972685
30,6.84E-10,17.13227229,1.692,164.720485
31,7.65E-10,17.2002269,1.692,55.11125351
24,7.55E-10,16.50913687,1.692,120.9282652
26,6.92E-10,16.60010828,1.692,183.0521216
22,7.83E-10,17.05404738,1.692,62.12683994
33,8.54E-10,16.70204351,1.692,84.43898206
36,7.75E-10,16.78318276,1.692,139.2060313
27,7.12E-10,16.78157131,1.692,149.3810727
36,7.52E-10,17.07114573,1.692,134.9667509
30,7.65E-10,16.48923893,1.692,219.7477124
28,6.72E-10,16.02747971,1.692,225.5227287
16,5.64E-10,14.82728694,1.692,152.6247004
30,6.25E-10,16.15747738,1.692,193.6179332
30,7.69E-10,16.48480695,1.692,209.7204467
21,7.34E-10,16.14615604,1.692,332.4943758
25,6.80E-10,15.67616579,1.692,215.1913272
29,6.91E-10,15.84170171,1.692,245.8646124
26,6.92E-10,15.99140718,1.692,229.8406191
18,6.89E-10,15.80680639,1.692,124.1865258
